stateA,stateB,Direction,Value,A_state,A_long,A_lat,B_state,B_long,B_lat
Georgia,Alaska,out-mover,996,Georgia,-83.4426,32.6415,Alaska,-152.2782,64.0685
Hawaii,Alaska,in-mover,735,Hawaii,-156.3737,20.2927,Alaska,-152.2782,64.0685
Hawaii,Alaska,out-mover,593,Hawaii,-156.3737,20.2927,Alaska,-152.2782,64.0685
Idaho,Alaska,in-mover,1070,Idaho,-114.613,44.3509,Alaska,-152.2782,64.0685
Idaho,Alaska,out-mover,654,Idaho,-114.613,44.3509,Alaska,-152.2782,64.0685
Illinois,Alaska,in-mover,547,Illinois,-89.1965,40.0417,Alaska,-152.2782,64.0685
Illinois,Alaska,out-mover,847,Illinois,-89.1965,40.0417,Alaska,-152.2782,64.0685
Indiana,Alaska,in-mover,190,Indiana,-86.2816,39.8942,Alaska,-152.2782,64.0685
Indiana,Alaska,out-mover,123,Indiana,-86.2816,39.8942,Alaska,-152.2782,64.0685
Iowa,Alaska,in-mover,503,Iowa,-93.496,42.0751,Alaska,-152.2782,64.0685
Iowa,Alaska,out-mover,317,Iowa,-93.496,42.0751,Alaska,-152.2782,64.0685
Kansas,Alaska,in-mover,278,Kansas,-98.3804,38.4937,Alaska,-152.2782,64.0685
Kansas,Alaska,out-mover,876,Kansas,-98.3804,38.4937,Alaska,-152.2782,64.0685
Kentucky,Alaska,in-mover,415,Kentucky,-85.3021,37.5347,Alaska,-152.2782,64.0685
Kentucky,Alaska,out-mover,503,Kentucky,-85.3021,37.5347,Alaska,-152.2782,64.0685
Louisiana,Alaska,in-mover,474,Louisiana,-91.9968,31.0689,Alaska,-152.2782,64.0685
Louisiana,Alaska,out-mover,284,Louisiana,-91.9968,31.0689,Alaska,-152.2782,64.0685
Maine,Alaska,in-mover,113,Maine,-69.2428,45.3695,Alaska,-152.2782,64.0685
Maine,Alaska,out-mover,96,Maine,-69.2428,45.3695,Alaska,-152.2782,64.0685
Maryland,Alaska,in-mover,372,Maryland,-76.7909,39.055,Alaska,-152.2782,64.0685
Maryland,Alaska,out-mover,331,Maryland,-76.7909,39.055,Alaska,-152.2782,64.0685
Massachusetts,Alaska,in-mover,381,Massachusetts,-71.8083,42.2596,Alaska,-152.2782,64.0685
Massachusetts,Alaska,out-mover,258,Massachusetts,-71.8083,42.2596,Alaska,-152.2782,64.0685
Michigan,Alaska,in-mover,716,Michigan,-85.4102,44.3467,Alaska,-152.2782,64.0685
Michigan,Alaska,out-mover,543,Michigan,-85.4102,44.3467,Alaska,-152.2782,64.0685
Minnesota,Alaska,in-mover,594,Minnesota,-94.3053,46.2807,Alaska,-152.2782,64.0685
Minnesota,Alaska,out-mover,698,Minnesota,-94.3053,46.2807,Alaska,-152.2782,64.0685
Mississippi,Alaska,in-mover,174,Mississippi,-89.6678,32.7364,Alaska,-152.2782,64.0685
Mississippi,Alaska,out-mover,136,Mississippi,-89.6678,32.7364,Alaska,-152.2782,64.0685
Missouri,Alaska,in-mover,1048,Missouri,-92.458,38.3566,Alaska,-152.2782,64.0685
Missouri,Alaska,out-mover,631,Missouri,-92.458,38.3566,Alaska,-152.2782,64.0685
Montana,Alaska,in-mover,815,Montana,-109.6333,47.0527,Alaska,-152.2782,64.0685
Montana,Alaska,out-mover,419,Montana,-109.6333,47.0527,Alaska,-152.2782,64.0685
Nebraska,Alaska,in-mover,206,Nebraska,-99.7951,41.5378,Alaska,-152.2782,64.0685
Nebraska,Alaska,out-mover,186,Nebraska,-99.7951,41.5378,Alaska,-152.2782,64.0685
Nevada,Alaska,in-mover,1182,Nevada,-116.6312,39.3289,Alaska,-152.2782,64.0685
Nevada,Alaska,out-mover,1259,Nevada,-116.6312,39.3289,Alaska,-152.2782,64.0685
New Hampshire,Alaska,in-mover,266,New Hampshire,-71.5811,43.6805,Alaska,-152.2782,64.0685
New Hampshire,Alaska,out-mover,74,New Hampshire,-71.5811,43.6805,Alaska,-152.2782,64.0685
New Jersey,Alaska,in-mover,454,New Jersey,-74.6728,40.1907,Alaska,-152.2782,64.0685
New Jersey,Alaska,out-mover,218,New Jersey,-74.6728,40.1907,Alaska,-152.2782,64.0685
New Mexico,Alaska,in-mover,729,New Mexico,-106.1126,34.4071,Alaska,-152.2782,64.0685
New Mexico,Alaska,out-mover,479,New Mexico,-106.1126,34.4071,Alaska,-152.2782,64.0685
New York,Alaska,in-mover,700,New York,-75.5268,42.9538,Alaska,-152.2782,64.0685
New York,Alaska,out-mover,681,New York,-75.5268,42.9538,Alaska,-152.2782,64.0685
North Carolina,Alaska,in-mover,1434,North Carolina,-79.3877,35.5557,Alaska,-152.2782,64.0685
North Carolina,Alaska,out-mover,1474,North Carolina,-79.3877,35.5557,Alaska,-152.2782,64.0685
North Dakota,Alaska,in-mover,165,North Dakota,-100.4659,47.4501,Alaska,-152.2782,64.0685
North Dakota,Alaska,out-mover,126,North Dakota,-100.4659,47.4501,Alaska,-152.2782,64.0685
Ohio,Alaska,in-mover,649,Ohio,-82.7937,40.2862,Alaska,-152.2782,64.0685
Ohio,Alaska,out-mover,232,Ohio,-82.7937,40.2862,Alaska,-152.2782,64.0685
Oklahoma,Alaska,in-mover,492,Oklahoma,-97.4943,35.5889,Alaska,-152.2782,64.0685
Oklahoma,Alaska,out-mover,500,Oklahoma,-97.4943,35.5889,Alaska,-152.2782,64.0685
Oregon,Alaska,in-mover,2272,Oregon,-120.5583,43.9336,Alaska,-152.2782,64.0685
Oregon,Alaska,out-mover,1314,Oregon,-120.5583,43.9336,Alaska,-152.2782,64.0685
Pennsylvania,Alaska,in-mover,609,Pennsylvania,-77.7996,40.8781,Alaska,-152.2782,64.0685
Pennsylvania,Alaska,out-mover,321,Pennsylvania,-77.7996,40.8781,Alaska,-152.2782,64.0685
Puerto Rico,Alaska,in-mover,8,Puerto Rico,-66.43,18.222,Alaska,-152.2782,64.0685
Puerto Rico,Alaska,out-mover,253,Puerto Rico,-66.43,18.222,Alaska,-152.2782,64.0685
Rhode Island,Alaska,in-mover,40,Rhode Island,-71.5562,41.6762,Alaska,-152.2782,64.0685
Rhode Island,Alaska,out-mover,51,Rhode Island,-71.5562,41.6762,Alaska,-152.2782,64.0685
South Carolina,Alaska,in-mover,411,South Carolina,-80.8964,33.9169,Alaska,-152.2782,64.0685
South Carolina,Alaska,out-mover,452,South Carolina,-80.8964,33.9169,Alaska,-152.2782,64.0685
South Dakota,Alaska,in-mover,166,South Dakota,-100.2263,44.4443,Alaska,-152.2782,64.0685
South Dakota,Alaska,out-mover,229,South Dakota,-100.2263,44.4443,Alaska,-152.2782,64.0685
Tennessee,Alaska,in-mover,965,Tennessee,-86.3505,35.858,Alaska,-152.2782,64.0685
Tennessee,Alaska,out-mover,278,Tennessee,-86.3505,35.858,Alaska,-152.2782,64.0685
Texas,Alaska,in-mover,3074,Texas,-99.3312,31.4757,Alaska,-152.2782,64.0685
Texas,Alaska,out-mover,2538,Texas,-99.3312,31.4757,Alaska,-152.2782,64.0685
